threads,time
8,2.038910
8,2.027481
8,2.023725
8,2.022141
8,2.026928
8,2.025249
8,2.020822
8,2.033010
8,2.031170
8,2.022516
8,2.023960
8,2.026651
8,2.024981
8,2.024963
8,2.027138
8,2.021150
8,2.033706
8,2.029144
8,2.034367
8,2.026555
7,2.061121
7,2.053151
7,2.050329
7,2.052544
7,2.049815
7,2.050864
7,2.049492
7,2.050683
7,2.045561
7,2.053131
7,2.044460
7,2.048127
7,2.049813
7,2.058404
7,2.048455
7,2.051261
7,2.051288
7,2.051255
7,2.052808
7,2.084112
6,1.856990
6,1.846523
6,1.858594
6,1.871821
6,1.867247
6,1.862792
6,1.875564
6,1.915878
6,1.988819
6,2.023098
6,2.076183
6,2.103272
6,2.291066
6,2.268091
6,2.253638
6,2.328218
6,2.336180
6,2.348868
6,2.299921
6,2.327464
6,2.061667
6,2.057960
6,2.057254
5,2.018701
5,2.002881
5,2.001239
5,2.001499
5,2.001952
5,1.998284
5,2.010104
5,2.005510
5,2.008163
5,2.003878
5,2.001463
5,2.003534
5,2.018389
5,2.007012
5,2.007000
5,1.996758
5,2.007699
5,2.010311
5,2.004740
5,2.004876
4,2.119026
4,2.110657
4,2.105507
4,2.102033
4,2.089976
4,2.092037
4,2.090272
4,2.091008
4,2.089338
4,2.096323
4,2.098307
4,2.154063
4,2.159639
4,2.110326
4,2.096574
4,2.097146
4,2.100229
4,2.104453
4,2.115050
4,2.160316
3,2.099375
3,2.085220
3,2.094408
3,2.081591
3,2.079415
3,2.082727
3,2.086315
3,2.084953
3,2.084072
3,2.083943
3,2.085790
3,2.083038
3,2.083102
3,2.085599
3,2.086263
3,2.085854
3,2.083797
3,2.083281
3,2.082972
3,2.084252
2,2.214341
2,2.204274
2,2.206570
2,2.200965
2,2.217734
2,2.209537
2,2.225911
2,2.221401
2,2.226267
2,2.222997
2,2.230883
2,2.224838
2,2.214014
2,2.221265
2,2.222178
2,2.226621
2,2.222778
2,2.218655
2,2.222744
2,2.226638
1,1.360717
1,1.359126
1,1.356383
1,1.358394
1,1.358768
1,1.358330
1,1.360465
1,1.357374
1,1.356556
1,1.358065
1,1.358423
1,1.357542
1,1.357473
1,1.359350
1,1.357254
1,1.356906
1,1.361258
1,1.358458
1,1.361077
1,1.358842
0,1.606286
0,1.644737
0,1.622700
0,1.597980
0,1.781753
0,1.696348
0,1.608821
0,1.604525
0,1.648730
0,1.612486
0,1.629458
0,1.672084
0,1.695779
0,1.756577
0,1.729198
0,1.640177
0,1.652642
0,1.603618
0,1.628545
0,1.650483
-1,0.363757
-1,0.361473
-1,0.356139
-1,0.356084
-1,0.358412
-1,0.357853
-1,0.358411
-1,0.365097
-1,0.357656
-1,0.362881
-1,0.359578
-1,0.375096
-1,0.379214
-1,0.355607
-1,0.358188
-1,0.360266
-1,0.362604
-1,0.360499
-1,0.362037
-1,0.360225

