chunk_size,time
1,2.044699
1,2.041698
1,2.039642
1,2.038623
1,2.032752
1,2.039012
1,2.039607
1,2.036215
1,2.040976
1,2.034843
1,2.032837
1,2.036480
1,2.039243
1,2.039375
1,2.052468
1,2.035671
1,2.038925
1,2.033383
1,2.034743
1,2.041727
2,1.022125
2,1.028999
2,1.022720
2,1.022572
2,1.024815
2,1.022812
2,1.023417
2,1.027402
2,1.022149
2,1.020938
2,1.023787
2,1.024914
2,1.025731
2,1.034687
2,1.025147
2,1.026186
2,1.024822
2,1.052365
2,1.051175
2,1.052013
3,0.698427
3,0.698172
3,0.700346
3,0.706076
3,0.709759
3,0.710403
3,0.706733
3,0.707966
3,0.708487
3,0.707793
3,0.712207
3,0.706117
3,0.714365
3,0.708206
3,0.704468
3,0.703915
3,0.709485
3,0.701948
3,0.702470
3,0.705365
4,0.528050
4,0.528798
4,0.527655
4,0.528591
4,0.528602
4,0.530092
4,0.529091
4,0.528705
4,0.527054
4,0.529241
4,0.528801
4,0.528729
4,0.526973
4,0.527636
4,0.531322
4,0.530494
4,0.526804
4,0.528641
4,0.527403
4,0.528215
5,0.423060
5,0.426269
5,0.424023
5,0.422006
5,0.424409
5,0.422407
5,0.435763
5,0.445615
5,0.440950
5,0.447043
5,0.458588
5,0.465419
5,0.464330
5,0.452520
5,0.452676
5,0.461825
5,0.469827
5,0.466919
5,0.464647
5,0.465441
6,0.388079
6,0.393016
6,0.396311
6,0.396265
6,0.394007
6,0.398217
6,0.395297
6,0.396707
6,0.395596
6,0.394812
6,0.395487
6,0.395267
6,0.394776
6,0.395472
6,0.395471
6,0.400923
6,0.396474
6,0.398773
6,0.396928
6,0.396003
7,0.343572
7,0.344518
7,0.341789
7,0.343950
7,0.342406
7,0.342535
7,0.342063
7,0.341766
7,0.341297
7,0.341718
7,0.343838
7,0.341614
7,0.344374
7,0.344679
7,0.342737
7,0.344740
7,0.342129
7,0.341508
7,0.341641
7,0.341850
8,0.299543
8,0.299903
8,0.301638
8,0.299663
8,0.299328
8,0.299532
8,0.298986
8,0.299298
8,0.299392
8,0.303552
8,0.299484
8,0.301805
8,0.299971
8,0.299344
8,0.299284
8,0.298941
8,0.301464
8,0.302711
8,0.300131
8,0.301735
9,0.266492
9,0.269165
9,0.269896
9,0.269071
9,0.269167
9,0.265120
9,0.265657
9,0.267103
9,0.265738
9,0.266183
9,0.265016
9,0.266993
9,0.270736
9,0.265120
9,0.264325
9,0.264925
9,0.265596
9,0.265407
9,0.265286
9,0.265947
10,0.207902
10,0.204675
10,0.208490
10,0.205893
10,0.205571
10,0.206979
10,0.205415
10,0.204378
10,0.205940
10,0.204348
10,0.204260
10,0.204960
10,0.206161
10,0.205682
10,0.204817
10,0.204947
10,0.204722
10,0.205500
10,0.204182
10,0.203982
20,0.121449
20,0.121773
20,0.121788
20,0.122180
20,0.122935
20,0.121746
20,0.121604
20,0.122335
20,0.122053
20,0.121331
20,0.122193
20,0.123452
20,0.123784
20,0.122627
20,0.123703
20,0.122471
20,0.122259
20,0.121790
20,0.121498
20,0.122477
30,0.098942
30,0.098549
30,0.099203
30,0.099383
30,0.103655
30,0.101344
30,0.102790
30,0.107107
30,0.106029
30,0.109297
30,0.110032
30,0.107165
30,0.106787
30,0.108166
30,0.106552
30,0.107745
30,0.109319
30,0.110763
30,0.111310
30,0.121263
40,0.111967
40,0.124896
40,0.105881
40,0.105701
40,0.107432
40,0.107226
40,0.108427
40,0.109945
40,0.116914
40,0.112686
40,0.108521
40,0.109425
40,0.110416
40,0.136143
40,0.108906
40,0.109006
40,0.112813
40,0.110146
40,0.110175
40,0.109548
50,0.106923
50,0.106212
50,0.110031
50,0.106986
50,0.106971
50,0.108309
50,0.109326
50,0.112623
50,0.106521
50,0.106665
50,0.106454
50,0.107588
50,0.106472
50,0.106216
50,0.108321
50,0.108923
50,0.107965
50,0.105971
50,0.106055
50,0.107173
60,0.110571
60,0.107166
60,0.107284
60,0.108963
60,0.105128
60,0.110348
60,0.106076
60,0.103978
60,0.106387
60,0.104863
60,0.105494
60,0.105610
60,0.106174
60,0.105600
60,0.105584
60,0.105137
60,0.105066
60,0.105220
60,0.105122
60,0.104737
70,0.105763
70,0.105758
70,0.106894
70,0.108208
70,0.105109
70,0.107573
70,0.114756
70,0.106095
70,0.105626
70,0.105412
70,0.108716
70,0.112417
70,0.113966
70,0.112204
70,0.108602
70,0.107353
70,0.111788
70,0.114977
70,0.119286
70,0.108794
80,0.104406
80,0.119780
80,0.109352
80,0.108042
80,0.117595
80,0.109248
80,0.112519
80,0.109607
80,0.108332
80,0.104394
80,0.118359
80,0.119178
80,0.103306
80,0.107336
80,0.110136
80,0.103792
80,0.105401
80,0.106512
80,0.119826
80,0.105977
90,0.112989
90,0.102157
90,0.108520
90,0.103830
90,0.102510
90,0.108041
90,0.103899
90,0.101865
90,0.107252
90,0.112044
90,0.108765
90,0.113579
90,0.107656
90,0.107244
90,0.107115
90,0.106568
90,0.109755
90,0.111754
90,0.111658
90,0.112836
100,0.089912
100,0.088599
100,0.087943
100,0.090480
100,0.090339
100,0.087666
100,0.088332
100,0.088963
100,0.088704
100,0.088285
100,0.088678
100,0.088310
100,0.087742
100,0.087972
100,0.089024
100,0.089755
100,0.088053
100,0.088099
100,0.088380
100,0.087730
200,0.085853
200,0.086356
200,0.085257
200,0.085345
200,0.086089
200,0.085103
200,0.086147
200,0.085798
200,0.085389
200,0.085498
200,0.085959
200,0.085758
200,0.085819
200,0.085555
200,0.085177
200,0.085727
200,0.085452
200,0.085277
200,0.086550
200,0.085963
300,0.084477
300,0.084333
300,0.084621
300,0.084560
300,0.085028
300,0.084477
300,0.084466
300,0.084135
300,0.084471
300,0.084443
300,0.087607
300,0.090471
300,0.083723
300,0.083703
300,0.083310
300,0.083374
300,0.084215
300,0.083844
300,0.083173
300,0.083278
400,0.083608
400,0.082826
400,0.089144
400,0.083255
400,0.083146
400,0.082852
400,0.082520
400,0.083331
400,0.083895
400,0.085073
400,0.089660
400,0.088115
400,0.086920
400,0.087647
400,0.090006
400,0.090301
400,0.090552
400,0.090771
400,0.090405
400,0.090606
500,0.090211
500,0.090372
500,0.093702
500,0.093525
500,0.093304
500,0.110682
500,0.093006
500,0.093904
500,0.095699
500,0.095901
500,0.096922
500,0.095605
500,0.095676
500,0.096533
500,0.095791
500,0.097396
500,0.097198
500,0.095731
500,0.095650
500,0.096094
600,0.096288
600,0.095816
600,0.095770
600,0.095672
600,0.095564
600,0.098920
600,0.096365
600,0.095600
600,0.095659
600,0.096018
600,0.096042
600,0.096002
600,0.095868
600,0.096540
600,0.095565
600,0.096152
600,0.097009
600,0.095747
600,0.095879
600,0.096037
700,0.096453
700,0.098084
700,0.096200
700,0.095273
700,0.095810
700,0.095424
700,0.097133
700,0.096325
700,0.095373
700,0.095519
700,0.096774
700,0.096491
700,0.095598
700,0.095744
700,0.096258
700,0.095791
700,0.096373
700,0.096410
700,0.096665
700,0.096462
800,0.095804
800,0.095519
800,0.096114
800,0.096227
800,0.095497
800,0.095229
800,0.096767
800,0.096670
800,0.095356
800,0.095874
800,0.095372
800,0.095321
800,0.096647
800,0.095800
800,0.095229
800,0.095867
800,0.095599
800,0.099109
800,0.095604
800,0.095822
900,0.095394
900,0.095863
900,0.095993
900,0.096118
900,0.095504
900,0.096164
900,0.095187
900,0.095481
900,0.097470
900,0.096014
900,0.095459
900,0.095189
900,0.095358
900,0.097486
900,0.096062
900,0.095287
900,0.095402
900,0.095712
900,0.096907
900,0.095118
1000,0.113537
1000,0.120645
1000,0.082553
1000,0.082230
1000,0.090456
1000,0.082979
1000,0.082205
1000,0.082558
1000,0.082098
1000,0.082221
1000,0.082952
1000,0.083177
1000,0.082233
1000,0.082514
1000,0.082511
1000,0.082507
1000,0.082490
1000,0.083267
1000,0.085361
1000,0.088193
