chunk_size,time
1,0.108638
1,0.104061
1,0.105462
1,0.103346
1,0.105412
1,0.108631
1,0.110863
1,0.105250
1,0.106084
1,0.106035
1,0.106363
1,0.107269
1,0.105568
1,0.106005
1,0.106923
1,0.105910
1,0.107163
1,0.108398
1,0.106080
1,0.110002
2,0.098001
2,0.100067
2,0.100782
2,0.107508
2,0.099188
2,0.098354
2,0.097106
2,0.098668
2,0.105063
2,0.101178
2,0.098456
2,0.100035
2,0.097158
2,0.098297
2,0.099155
2,0.098924
2,0.105276
2,0.113395
2,0.107927
2,0.102170
3,0.103209
3,0.102559
3,0.094636
3,0.095685
3,0.095605
3,0.097684
3,0.095737
3,0.095306
3,0.095573
3,0.096579
3,0.093835
3,0.099668
3,0.095429
3,0.094592
3,0.096799
3,0.094570
3,0.095307
3,0.092243
3,0.093953
3,0.095183
4,0.091184
4,0.091837
4,0.096733
4,0.089871
4,0.093483
4,0.091973
4,0.090426
4,0.096784
4,0.094477
4,0.095350
4,0.094285
4,0.096844
4,0.097455
4,0.099161
4,0.101264
4,0.100034
4,0.103275
4,0.101730
4,0.100628
4,0.101137
5,0.100820
5,0.101715
5,0.104713
5,0.105811
5,0.103741
5,0.103754
5,0.103049
5,0.100444
5,0.102854
5,0.102654
5,0.105711
5,0.107269
5,0.104791
5,0.106274
5,0.105525
5,0.107070
5,0.107248
5,0.107349
5,0.107931
5,0.107896
6,0.105056
6,0.107626
6,0.112282
6,0.109425
6,0.106727
6,0.108738
6,0.104115
6,0.108254
6,0.111382
6,0.109337
6,0.107602
6,0.110661
6,0.104979
6,0.107092
6,0.111982
6,0.107409
6,0.109091
6,0.111873
6,0.110535
6,0.109295
7,0.108113
7,0.106801
7,0.105985
7,0.108074
7,0.104849
7,0.107456
7,0.105096
7,0.106703
7,0.104849
7,0.107179
7,0.105763
7,0.107521
7,0.107064
7,0.106580
7,0.104732
7,0.107451
7,0.105215
7,0.106858
7,0.107555
7,0.106229
8,0.105913
8,0.104235
8,0.105562
8,0.104452
8,0.105621
8,0.105393
8,0.104355
8,0.109910
8,0.103516
8,0.105959
8,0.105872
8,0.106159
8,0.106167
8,0.102376
8,0.105167
8,0.102409
8,0.103565
8,0.106714
8,0.105199
8,0.118818
9,0.117157
